Key,Value
35,{"s_no": 5421; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 91; "temperature": 94; "wind_speed": 15}}
36,{"s_no": 5613; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 74; "temperature": 6; "wind_speed": 42}}
37,{"s_no": 5588; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 81; "temperature": 1; "wind_speed": 21}}
38,{"s_no": 5642; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 48; "temperature": 22; "wind_speed": 28}}
39,{"s_no": 5724; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 57; "temperature": 54; "wind_speed": 18}}
40,{"s_no": 5676; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 81; "temperature": 80; "wind_speed": 28}}
41,{"s_no": 5713; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 59; "temperature": 32; "wind_speed": 49}}
42,{"s_no": 5717; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 81; "temperature": 70; "wind_speed": 8}}
43,{"s_no": 5657; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 22; "temperature": 60; "wind_speed": 43}}
44,{"s_no": 5704; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 47; "temperature": 66; "wind_speed": 39}}
45,{"s_no": 5487; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 66; "temperature": 121; "wind_speed": 15}}
46,{"s_no": 5264; "battery_status": "medium"; "status_timestamp": 1747950325; "weather": {"humidity": 53; "temperature": 35; "wind_speed": 45}}
47,{"s_no": 5488; "battery_status": "medium"; "status_timestamp": 1747950325; "weather": {"humidity": 2; "temperature": 83; "wind_speed": 27}}
48,{"s_no": 5607; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 10; "temperature": 29; "wind_speed": 10}}
49,{"s_no": 5726; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 76; "temperature": 58; "wind_speed": 5}}
50,{"s_no": 5643; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 89; "temperature": 25; "wind_speed": 31}}
51,{"s_no": 5700; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 78; "temperature": 18; "wind_speed": 38}}
52,{"s_no": 5698; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 36; "temperature": 54; "wind_speed": 43}}
53,{"s_no": 5649; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 35; "temperature": 93; "wind_speed": 0}}
54,{"s_no": 5707; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 52; "temperature": 94; "wind_speed": 41}}
55,{"s_no": 5712; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 12; "temperature": 96; "wind_speed": 18}}
56,{"s_no": 5608; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 75; "temperature": 66; "wind_speed": 45}}
57,{"s_no": 5711; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 68; "temperature": 143; "wind_speed": 29}}
58,{"s_no": 5696; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 67; "temperature": 104; "wind_speed": 44}}
59,{"s_no": 5634; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 86; "temperature": 53; "wind_speed": 24}}
60,{"s_no": 5075; "battery_status": "low"; "status_timestamp": 1747950325; "weather": {"humidity": 47; "temperature": 144; "wind_speed": 36}}
61,{"s_no": 5631; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 89; "temperature": 77; "wind_speed": 4}}
62,{"s_no": 5635; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 41; "temperature": 104; "wind_speed": 16}}
63,{"s_no": 5486; "battery_status": "medium"; "status_timestamp": 1747950325; "weather": {"humidity": 26; "temperature": 146; "wind_speed": 20}}
64,{"s_no": 5665; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 66; "temperature": 59; "wind_speed": 25}}
65,{"s_no": 5684; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 45; "temperature": 49; "wind_speed": 43}}
66,{"s_no": 5683; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 78; "temperature": 20; "wind_speed": 0}}
67,{"s_no": 5623; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 98; "temperature": 8; "wind_speed": 31}}
68,{"s_no": 5340; "battery_status": "medium"; "status_timestamp": 1747950325; "weather": {"humidity": 71; "temperature": 24; "wind_speed": 9}}
69,{"s_no": 5658; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 3; "temperature": 46; "wind_speed": 47}}
70,{"s_no": 5151; "battery_status": "low"; "status_timestamp": 1747950325; "weather": {"humidity": 24; "temperature": 39; "wind_speed": 9}}
71,{"s_no": 5719; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 26; "temperature": 83; "wind_speed": 33}}
72,{"s_no": 5327; "battery_status": "low"; "status_timestamp": 1747950325; "weather": {"humidity": 66; "temperature": 81; "wind_speed": 1}}
73,{"s_no": 5672; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 87; "temperature": 14; "wind_speed": 18}}
74,{"s_no": 5725; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 97; "temperature": 37; "wind_speed": 22}}
75,{"s_no": 5722; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 11; "temperature": 18; "wind_speed": 45}}
76,{"s_no": 5703; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 69; "temperature": 19; "wind_speed": 13}}
77,{"s_no": 5616; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 14; "temperature": 100; "wind_speed": 1}}
78,{"s_no": 5667; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 5; "temperature": 56; "wind_speed": 25}}
79,{"s_no": 5720; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 42; "temperature": 68; "wind_speed": 4}}
80,{"s_no": 5705; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 37; "temperature": 36; "wind_speed": 48}}
81,{"s_no": 5708; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 77; "temperature": 13; "wind_speed": 30}}
82,{"s_no": 5570; "battery_status": "low"; "status_timestamp": 1747950325; "weather": {"humidity": 66; "temperature": 140; "wind_speed": 23}}
83,{"s_no": 5675; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 75; "temperature": 65; "wind_speed": 38}}
84,{"s_no": 5723; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 22; "temperature": 90; "wind_speed": 48}}
85,{"s_no": 5589; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 57; "temperature": 66; "wind_speed": 29}}
86,{"s_no": 5508; "battery_status": "medium"; "status_timestamp": 1747950325; "weather": {"humidity": 91; "temperature": 27; "wind_speed": 13}}
87,{"s_no": 5727; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 11; "temperature": 77; "wind_speed": 14}}
88,{"s_no": 5699; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 32; "temperature": 39; "wind_speed": 28}}
89,{"s_no": 5576; "battery_status": "low"; "status_timestamp": 1747950325; "weather": {"humidity": 49; "temperature": 57; "wind_speed": 37}}
90,{"s_no": 5447; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 96; "temperature": 126; "wind_speed": 15}}
91,{"s_no": 5660; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 40; "temperature": 139; "wind_speed": 28}}
92,{"s_no": 5632; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 22; "temperature": 69; "wind_speed": 1}}
93,{"s_no": 5529; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 62; "temperature": 66; "wind_speed": 12}}
94,{"s_no": 5620; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 56; "temperature": 4; "wind_speed": 4}}
95,{"s_no": 5563; "battery_status": "medium"; "status_timestamp": 1747950325; "weather": {"humidity": 99; "temperature": 126; "wind_speed": 2}}
96,{"s_no": 5693; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 25; "temperature": 127; "wind_speed": 43}}
97,{"s_no": 5626; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 35; "temperature": 91; "wind_speed": 49}}
98,{"s_no": 5718; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 57; "temperature": 26; "wind_speed": 21}}
99,{"s_no": 5716; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 85; "temperature": 69; "wind_speed": 9}}
100,{"s_no": 5697; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 80; "temperature": 139; "wind_speed": 23}}

